Gen	theta_7OLMXRB	theta_8LMXRB	theta_9LM	theta_10XRB	theta_11RB	tau_7OLMXRB	tau_8LMXRB	tau_9LM	tau_10XRB	tau_11RB	lnL
30	0.010435	0.00076614	0.0026488	0.00030526	0.0020133	0.0012617	0.00070511	0.00011965	0.00059056	0.00016323	-15982385.764
60	0.010256	0.00077178	0.0025426	0.00030653	0.0020544	0.0012561	0.00069442	0.00013105	0.00058347	0.00015308	-15981909.858
90	0.010161	0.00077219	0.0025683	0.00030652	0.0018734	0.001258	0.00069689	0.0001441	0.00058587	0.00015655	-15981979.891
120	0.010283	0.00077979	0.002618	0.00030843	0.001977	0.0012577	0.00069063	0.00014473	0.0005827	0.00015893	-15981865.399
150	0.010207	0.00077254	0.0025746	0.00030693	0.0022616	0.0012516	0.00068837	0.00014578	0.0005782	0.00014935	-15982308.125
180	0.010243	0.00077777	0.0025911	0.00030984	0.0020116	0.0012556	0.00068612	0.00013899	0.00057475	0.00015196	-15982213.420
210	0.010314	0.00077589	0.0027215	0.00031022	0.001809	0.0012577	0.00068639	0.0001244	0.0005729	0.00016071	-15982637.377
240	0.010299	0.00078641	0.002741	0.00031583	0.0022258	0.0012657	0.0006886	0.00011856	0.00057219	0.00013504	-15982228.366
270	0.010338	0.00079374	0.0025008	0.00032065	0.0021872	0.0012674	0.00068487	0.0001187	0.00056575	0.00013048	-15982552.751
300	0.010244	0.00078748	0.0026137	0.00031842	0.0019544	0.0012658	0.00068982	0.00012072	0.00056931	0.00014374	-15982359.433
330	0.01018	0.00077744	0.0025785	0.00031212	0.0019302	0.0012582	0.00069172	0.00011212	0.00057497	0.00014618	-15982512.294
360	0.01021	0.00077527	0.0025958	0.00031058	0.0019008	0.0012625	0.00069635	0.00011782	0.00058007	0.00014614	-15982489.929
390	0.01035	0.00077744	0.0024619	0.00031206	0.001946	0.0012656	0.00069723	0.00012909	0.00057967	0.00014107	-15982464.861
420	0.010256	0.00076628	0.002733	0.00030561	0.0021013	0.0012584	0.00070085	0.00011881	0.00058643	0.00013172	-15982590.166
450	0.010267	0.0007589	0.0027504	0.00030263	0.0022736	0.0012628	0.00070911	0.00011612	0.00059341	0.00012307	-15982678.361
480	0.010238	0.00076016	0.0026782	0.00030364	0.0023778	0.0012596	0.00071029	0.00010492	0.00059341	0.00011564	-15982177.914
510	0.010233	0.00075689	0.0028019	0.00030207	0.0019697	0.0012502	0.00070536	9.7912e-05	0.0005898	0.00013354	-15982572.605
540	0.010244	0.0007625	0.0026222	0.00030529	0.0022497	0.0012504	0.00069553	0.00010107	0.00057972	0.00012631	-15982456.137
570	0.010233	0.00076162	0.0027636	0.00030423	0.0022356	0.0012456	0.00069841	9.9277e-05	0.00058347	0.0001037	-15982088.499
600	0.010262	0.00076173	0.0027184	0.00030537	0.0021521	0.0012521	0.00069773	9.9364e-05	0.00058081	9.7542e-05	-15982650.843
630	0.010194	0.00076359	0.0027842	0.00030448	0.0023988	0.0012528	0.00069888	9.7086e-05	0.00058489	9.238e-05	-15982440.503
660	0.010227	0.00076089	0.0028969	0.00030274	0.0026256	0.0012535	0.00070826	0.0001029	0.00059404	8.1648e-05	-15982204.507
690	0.010169	0.00075336	0.0028739	0.00030125	0.0027006	0.0012438	0.00070147	9.9042e-05	0.0005854	7.5278e-05	-15982133.221
720	0.01029	0.00075696	0.0028193	0.00030088	0.003143	0.0012494	0.00069816	9.8944e-05	0.00058616	6.8587e-05	-15981968.326
750	0.010321	0.00074732	0.0026322	0.00029521	0.0032044	0.0012492	0.00070148	0.00010915	0.00059259	6.3222e-05	-15982194.651
780	0.010217	0.00074659	0.0026566	0.00029559	0.0030216	0.0012373	0.00069547	0.00011531	0.00058619	6.8506e-05	-15981815.528
810	0.01014	0.00074437	0.0027404	0.00029255	0.0027494	0.0012355	0.00069974	0.00012007	0.00059416	6.9912e-05	-15982693.373
840	0.010277	0.00074064	0.0026027	0.00029103	0.0026283	0.0012356	0.00069914	0.00011922	0.00059377	7.2959e-05	-15982174.780
870	0.010348	0.00073559	0.0026296	0.00029072	0.0027158	0.0012341	0.00069856	0.00012065	0.00058984	7.4e-05	-15981887.524
900	0.010192	0.00074152	0.0026315	0.00029282	0.0025962	0.0012377	0.00070098	0.00011897	0.00059237	8.0558e-05	-15982388.058
930	0.010276	0.00074393	0.0025946	0.00029273	0.0029127	0.0012371	0.00069547	0.00012672	0.00058983	6.8003e-05	-15982163.564
960	0.010262	0.00074213	0.0027427	0.00029194	0.0028985	0.0012326	0.00069487	0.00011559	0.00058948	6.8939e-05	-15982135.370
990	0.010307	0.00073419	0.0028448	0.00028979	0.0030845	0.001226	0.00069827	0.00010068	0.00059036	7.1884e-05	-15982343.893
1020	0.010176	0.0007301	0.0028146	0.00028758	0.0029669	0.0012281	0.00070161	0.00010618	0.00059442	6.7145e-05	-15982012.233
1050	0.010226	0.00073626	0.0026998	0.00028944	0.0027542	0.0012324	0.00070015	0.00011249	0.00059435	6.7885e-05	-15982270.481
1080	0.010291	0.00073163	0.0026954	0.00029008	0.0027257	0.0012328	0.00070103	0.00011085	0.00059004	6.5577e-05	-15982216.897
1110	0.010223	0.00073677	0.0026229	0.00028959	0.0023941	0.0012371	0.00070065	0.00011504	0.00059487	6.7249e-05	-15982126.339
1140	0.010314	0.00074005	0.0026849	0.00029167	0.0022645	0.0012404	0.00070145	0.00010676	0.00059393	6.4672e-05	-15982433.939
1170	0.010415	0.00073706	0.0027929	0.0002913	0.0026396	0.0012286	0.0006926	0.00010852	0.00058482	5.109e-05	-15982191.829
1200	0.010351	0.00074012	0.0026628	0.00029245	0.0025043	0.0012363	0.00069842	0.00011118	0.00058985	6.0291e-05	-15982201.132
1230	0.010336	0.00073557	0.0026503	0.00028986	0.0026495	0.0012317	0.00069687	0.00011093	0.00059016	5.3439e-05	-15982151.873
1260	0.010314	0.00074409	0.0027047	0.00029304	0.0028052	0.0012391	0.00070594	0.00010861	0.00059819	4.8026e-05	-15982155.662
1290	0.010237	0.00074958	0.0026497	0.00029665	0.0028238	0.001236	0.00069493	0.0001104	0.00058599	4.6965e-05	-15982281.150
1320	0.010309	0.00073993	0.0025277	0.000295	0.0027757	0.0012266	0.00069042	0.00011105	0.0005779	5.2989e-05	-15981838.076
1350	0.010234	0.00073923	0.0025844	0.00029268	0.0029329	0.0012269	0.00068983	0.00010958	0.00058143	4.616e-05	-15982060.111
1380	0.01029	0.00075456	0.0025189	0.00030127	0.0024027	0.0012408	0.00069449	0.00011481	0.00058047	4.9384e-05	-15981934.443
1410	0.010308	0.00074224	0.0025215	0.00029659	0.002794	0.0012263	0.00068707	0.00011014	0.00057381	4.2542e-05	-15982016.246
1440	0.010313	0.00074455	0.002798	0.0002968	0.0028041	0.0012334	0.00069271	0.00010781	0.00057989	4.5512e-05	-15981912.727
1470	0.010341	0.00075426	0.0029955	0.00030264	0.0024814	0.0012386	0.00069524	9.4124e-05	0.00057823	4.7702e-05	-15982192.566
1500	0.010297	0.0007618	0.0029434	0.00030432	0.0027059	0.0012496	0.00070225	9.268e-05	0.00058665	5.1444e-05	-15982245.748
1530	0.010271	0.00075356	0.0027904	0.00030164	0.0025135	0.0012392	0.00069475	9.1444e-05	0.0005792	5.4722e-05	-15982086.803
1560	0.010328	0.00074824	0.0027206	0.0002993	0.002587	0.0012366	0.00069298	8.9069e-05	0.00057813	5.6181e-05	-15982119.392
1590	0.010202	0.00075059	0.0028889	0.00030035	0.0027158	0.0012345	0.0006883	8.6999e-05	0.00057403	5.5631e-05	-15982115.990
1620	0.010212	0.00074876	0.0030127	0.00029864	0.0029318	0.0012334	0.00069106	9.1166e-05	0.0005782	5.105e-05	-15981912.847
1650	0.010329	0.00074369	0.0028806	0.00029503	0.0026177	0.0012377	0.0006936	9.6901e-05	0.00058346	6.3399e-05	-15982144.877
1680	0.010268	0.00075222	0.0026953	0.00029831	0.0025603	0.0012467	0.00070047	0.00010215	0.00058944	6.6544e-05	-15982500.708
1710	0.010276	0.00075523	0.0027263	0.00030148	0.0027064	0.001254	0.00070462	0.00010765	0.00058904	6.0372e-05	-15982581.984
1740	0.010172	0.00075222	0.0026965	0.00029736	0.0031057	0.0012554	0.00070687	0.00011097	0.00059672	5.5105e-05	-15982422.412
1770	0.010236	0.00074949	0.00274	0.00029716	0.0025167	0.0012539	0.00070545	0.00010893	0.00059376	6.7906e-05	-15982260.727
1800	0.010187	0.00075307	0.0029491	0.00029689	0.0030071	0.0012591	0.00071042	9.8362e-05	0.00060136	5.6327e-05	-15982530.265
1830	0.010252	0.00074768	0.0027985	0.00029473	0.0026717	0.0012589	0.00070831	9.8784e-05	0.00059964	6.4153e-05	-15982215.379
1860	0.010333	0.00073666	0.0027814	0.00028949	0.0029016	0.0012527	0.00070399	0.00010031	0.00059783	5.9039e-05	-15982394.552
1890	0.010368	0.00074961	0.002899	0.00029065	0.0025951	0.0012556	0.00070438	9.2657e-05	0.0005954	7.0161e-05	-15982105.926
1920	0.010299	0.00074769	0.0026959	0.00029034	0.0031994	0.0012529	0.00070313	0.00010007	0.00059345	5.7305e-05	-15982244.018
1950	0.010336	0.00074913	0.002748	0.00029002	0.0028143	0.0012553	0.00070332	9.8253e-05	0.0005954	5.7245e-05	-15982165.518
1980	0.010174	0.00075075	0.0028719	0.0002923	0.0028618	0.0012579	0.00070612	9.8003e-05	0.0005944	5.5204e-05	-15982402.049
2010	0.010231	0.00075392	0.0026949	0.00029316	0.003045	0.0012632	0.00070868	0.00011149	0.00059731	5.3464e-05	-15982281.283
2040	0.010294	0.00075587	0.0028159	0.00029496	0.0029765	0.0012638	0.00071084	0.00010268	0.00059701	5.9136e-05	-15982537.133
2070	0.01028	0.00075562	0.0027697	0.00029455	0.002872	0.0012507	0.000703	0.00010444	0.00059106	6.0922e-05	-15982221.450
2100	0.010158	0.00075414	0.0027199	0.00029312	0.0027708	0.0012486	0.00070289	0.00010818	0.00059269	6.2485e-05	-15982194.139
2130	0.010257	0.00077374	0.0027438	0.0003014	0.0027779	0.0012672	0.00070772	0.00010512	0.00059545	6.5148e-05	-15982151.748
2160	0.01023	0.00076329	0.0027137	0.00029694	0.0027462	0.0012574	0.00070245	0.00010024	0.00059179	6.1552e-05	-15982518.609
2190	0.010174	0.00076544	0.0027522	0.00029662	0.003027	0.0012601	0.00070634	0.00010329	0.00059741	5.2288e-05	-15982226.424
2220	0.010227	0.00075899	0.0027236	0.00029333	0.0029509	0.0012557	0.00070584	0.00010148	0.00059858	4.4992e-05	-15982183.692
2250	0.0102	0.00075181	0.0027496	0.00029073	0.0025186	0.0012459	0.00069916	0.00010107	0.00059255	4.6944e-05	-15982174.751
2280	0.010232	0.00075747	0.0026436	0.00029285	0.0024495	0.0012483	0.00069466	0.00010394	0.0005889	4.6594e-05	-15982282.998
2310	0.01039	0.00075479	0.0026191	0.00029114	0.0025346	0.0012482	0.00069416	0.00010506	0.00058981	5.1503e-05	-15982407.797
2340	0.010273	0.0007487	0.0027989	0.00028881	0.0027203	0.0012468	0.00069835	9.7048e-05	0.00059334	5.3996e-05	-15982310.422
2370	0.010374	0.00075015	0.002914	0.0002883	0.0025302	0.0012474	0.00069726	9.4376e-05	0.00059461	5.7081e-05	-15982341.095
2400	0.01023	0.00074571	0.0030137	0.00028642	0.0025662	0.0012377	0.00069403	9.0134e-05	0.00059221	5.0332e-05	-15982563.519
2430	0.010125	0.00074973	0.0028773	0.00028708	0.0028536	0.0012354	0.00069035	9.1561e-05	0.00059088	4.3525e-05	-15982243.673
2460	0.010246	0.00076139	0.0028844	0.00029388	0.0025261	0.0012471	0.00069366	9.3488e-05	0.00058899	4.824e-05	-15982061.268
2490	0.010306	0.00077022	0.0028471	0.00029726	0.0026151	0.0012572	0.00069483	9.0765e-05	0.00059005	4.6716e-05	-15981994.704
2520	0.010363	0.00075822	0.0029332	0.00029648	0.0022369	0.0012525	0.00069421	8.8401e-05	0.00059031	5.1575e-05	-15982487.638
2550	0.010238	0.00075698	0.0028105	0.00029662	0.0024153	0.0012507	0.000692	9.0237e-05	0.00058718	4.7183e-05	-15982167.157
2580	0.010266	0.000768	0.0027647	0.0003018	0.0024906	0.0012524	0.0006919	9.1298e-05	0.00058543	4.5435e-05	-15982082.923
2610	0.010209	0.0007622	0.0028373	0.00029826	0.0025604	0.0012545	0.0006995	8.9527e-05	0.00059435	5.0435e-05	-15982207.047
2640	0.010168	0.00075051	0.0028375	0.00029337	0.0023348	0.0012473	0.00070221	9.2279e-05	0.0005973	5.6794e-05	-15982317.739
2670	0.010463	0.00074902	0.0027753	0.00029301	0.0022727	0.0012565	0.00070262	9.7833e-05	0.0005972	5.5124e-05	-15982318.617
2700	0.010329	0.00074411	0.0029254	0.00029293	0.0023374	0.0012451	0.00069768	9.0846e-05	0.00058927	5.7602e-05	-15981941.554
2730	0.010517	0.00074797	0.0028556	0.00029543	0.0023008	0.001248	0.00069977	9.5106e-05	0.00058907	5.8568e-05	-15981859.465
2760	0.010358	0.00073835	0.0028622	0.00028942	0.0028514	0.0012341	0.00069833	9.5837e-05	0.00059235	5.3373e-05	-15981910.631
2790	0.010304	0.00074361	0.0029294	0.00029098	0.0024047	0.0012336	0.00069628	8.8593e-05	0.00059164	6.0769e-05	-15982243.575
2820	0.010234	0.00073629	0.0027409	0.00028632	0.0024246	0.001231	0.00069946	9.4173e-05	0.00059808	6.9064e-05	-15981939.759
2850	0.010264	0.00073517	0.0028036	0.00028583	0.0024259	0.0012327	0.0006984	9.4577e-05	0.00059728	7.5386e-05	-15982040.762
2880	0.010276	0.00073593	0.002731	0.00028848	0.002491	0.001236	0.00070277	0.00010047	0.00059611	6.5122e-05	-15982218.753
2910	0.010332	0.0007407	0.0028304	0.00029059	0.0025426	0.0012384	0.00070284	9.9514e-05	0.00059568	6.3387e-05	-15982381.877
2940	0.010236	0.00073625	0.0028946	0.00028733	0.0028434	0.0012218	0.0006908	9.7447e-05	0.00058855	5.5474e-05	-15982223.103
2970	0.010332	0.00073925	0.0027264	0.00028736	0.003043	0.0012236	0.00068606	9.9017e-05	0.00058683	5.2065e-05	-15981798.992
3000	0.010347	0.00073969	0.0027088	0.00028779	0.0030134	0.0012261	0.00068376	0.00010563	0.00058435	5.1679e-05	-15981970.200
3030	0.010363	0.0007381	0.0027994	0.0002893	0.0026057	0.0012283	0.00068476	0.00010579	0.00058089	6.7658e-05	-15981887.559
3060	0.010381	0.00074474	0.0028353	0.00029195	0.0026686	0.0012351	0.00069365	0.00010419	0.00058834	6.5688e-05	-15981971.667
3090	0.010387	0.00074865	0.0027825	0.00029371	0.0024013	0.001235	0.0006925	0.00011691	0.0005869	7.172e-05	-15981908.921
3120	0.010341	0.00074222	0.0026804	0.00029147	0.0024941	0.00123	0.00069078	0.00011623	0.00058489	6.4082e-05	-15981967.426
3150	0.010325	0.0007413	0.0028247	0.00029052	0.0027601	0.0012276	0.00068786	0.00010192	0.00058359	6.5785e-05	-15982066.389
3180	0.0103	0.00074081	0.0027711	0.00029132	0.0031036	0.001224	0.0006814	0.0001049	0.00057614	5.7252e-05	-15981568.869
3210	0.010311	0.00073616	0.0026845	0.00028871	0.0028686	0.001218	0.00068493	0.0001074	0.00058068	6.0683e-05	-15981836.014
3240	0.010415	0.00073916	0.0025445	0.0002911	0.0023608	0.001223	0.00069104	0.00011173	0.00058344	7.8313e-05	-15982040.860
3270	0.010281	0.000744	0.0025522	0.00029488	0.0025657	0.0012285	0.00069443	0.00011829	0.00058257	7.6719e-05	-15982414.824
3300	0.010294	0.00075313	0.002708	0.00029785	0.0025984	0.0012358	0.00069806	0.00011657	0.00058688	7.6802e-05	-15982168.125
3330	0.010233	0.00075283	0.0025085	0.0002988	0.0025113	0.0012327	0.00069681	0.00013025	0.00058373	8.1709e-05	-15982105.873
3360	0.010293	0.00075605	0.0024767	0.00030151	0.0028772	0.0012309	0.00068482	0.00013557	0.00057097	7.3574e-05	-15982002.667
3390	0.010345	0.00076087	0.0024271	0.00030323	0.0024654	0.001235	0.00068485	0.0001379	0.00057137	8.0023e-05	-15981820.881
3420	0.01028	0.00075011	0.0023706	0.00029902	0.0027321	0.0012299	0.00068698	0.00015166	0.00057301	6.6284e-05	-15982137.364
3450	0.010242	0.00074963	0.0024867	0.00029727	0.0028077	0.0012305	0.00068946	0.00014667	0.00057808	6.7759e-05	-15981903.538
3480	0.010324	0.00075549	0.0025419	0.00029751	0.0028848	0.0012372	0.00069258	0.00013982	0.00058476	7.5733e-05	-15981760.555
3510	0.01025	0.00074643	0.0026249	0.00029409	0.0025157	0.0012294	0.0006889	0.00013352	0.00058137	8.5244e-05	-15982038.433
3540	0.01028	0.00074722	0.0025735	0.00029386	0.0023525	0.0012299	0.00068963	0.00013776	0.00058305	9.4243e-05	-15982420.570
3570	0.01027	0.00074839	0.0025661	0.0002926	0.0020515	0.0012384	0.00069554	0.00014601	0.0005915	0.00010219	-15982316.408
3600	0.010251	0.00074698	0.0025637	0.00029232	0.0023201	0.0012413	0.00069782	0.00014557	0.00059289	9.6606e-05	-15982358.767
3630	0.01036	0.00074293	0.0023923	0.00029149	0.0026648	0.0012335	0.00069218	0.00016466	0.00058659	9.7627e-05	-15982310.414
3660	0.010264	0.0007395	0.0023058	0.00028972	0.002731	0.0012304	0.00069559	0.00016289	0.00059034	9.5394e-05	-15982294.216
3690	0.010335	0.0007375	0.0022807	0.00028935	0.0026837	0.0012279	0.00069408	0.00017528	0.00058821	9.137e-05	-15982395.534
3720	0.01029	0.0007328	0.0023617	0.00028611	0.0024152	0.0012189	0.00069051	0.00017247	0.00058804	0.0001052	-15981826.878
3750	0.010425	0.00072198	0.002283	0.00028142	0.0028934	0.0012191	0.00069338	0.00017505	0.00059147	7.603e-05	-15982195.820
3780	0.010357	0.00072817	0.002311	0.00028378	0.002727	0.0012285	0.00069858	0.00017656	0.000596	7.562e-05	-15982065.650
3810	0.01021	0.00072128	0.0023191	0.00028011	0.0023257	0.0012178	0.00069288	0.00017149	0.00059323	8.0834e-05	-15982414.939
3840	0.010214	0.00072834	0.0022715	0.00028242	0.0022437	0.0012169	0.00069505	0.00016695	0.00059599	8.7188e-05	-15981940.917
3870	0.010352	0.00072594	0.0024069	0.00028296	0.0025186	0.0012194	0.00069782	0.00016352	0.00059526	7.3645e-05	-15982253.637
3900	0.010383	0.00072978	0.002285	0.00028568	0.0028785	0.0012229	0.00070146	0.00017206	0.00059581	6.2498e-05	-15982051.150
3930	0.010295	0.00072907	0.0024393	0.00028567	0.0026994	0.0012222	0.0006989	0.00015874	0.00059307	6.6747e-05	-15982327.146
3960	0.010292	0.0007336	0.0026082	0.0002889	0.002599	0.0012285	0.00070325	0.00014867	0.00059375	7.4021e-05	-15982113.965
3990	0.010409	0.00072657	0.0024677	0.00028608	0.0027161	0.0012248	0.00070056	0.00014801	0.00059159	6.8705e-05	-15982158.148
4020	0.010272	0.00071935	0.0023667	0.00028245	0.0026322	0.0012218	0.00069649	0.0001534	0.00058979	7.1203e-05	-15982016.803
4050	0.010289	0.00072259	0.0024194	0.00028291	0.0027287	0.0012329	0.00070771	0.00015056	0.00060101	7.405e-05	-15982214.322
4080	0.010265	0.00072448	0.002303	0.00028421	0.0025098	0.0012258	0.00070239	0.00015247	0.00059532	6.5699e-05	-15982092.974
4110	0.010263	0.00072491	0.0023717	0.00028436	0.0029711	0.0012273	0.00070274	0.00015452	0.00059566	5.2833e-05	-15982247.559
4140	0.01024	0.00072176	0.0026357	0.00028317	0.0029174	0.0012217	0.00070214	0.00014028	0.00059505	5.0477e-05	-15982161.563
4170	0.010342	0.00072414	0.0026158	0.00028376	0.0028568	0.001229	0.00070613	0.00013269	0.00059916	5.4301e-05	-15981987.983
4200	0.010228	0.00071983	0.0026565	0.00028079	0.0029799	0.0012225	0.00070192	0.00012735	0.00059831	5.0046e-05	-15981909.931
4230	0.010337	0.00072686	0.002488	0.0002852	0.0026031	0.0012299	0.00070586	0.00014228	0.00059814	5.513e-05	-15982143.715
4260	0.010265	0.00072323	0.0023999	0.00028344	0.0030492	0.0012208	0.00070186	0.00015056	0.00059546	5.3011e-05	-15982138.021
4290	0.010393	0.00071865	0.002454	0.00028357	0.0026502	0.001215	0.00070171	0.0001482	0.00059129	5.8468e-05	-15982408.696
4320	0.010226	0.00071866	0.0023532	0.00028144	0.0024997	0.0012135	0.00069854	0.00015963	0.00059309	6.7339e-05	-15981836.943
4350	0.010314	0.00072626	0.0024166	0.00028444	0.0028304	0.0012187	0.00069829	0.00015545	0.00059283	6.1578e-05	-15982154.386
4380	0.010367	0.00072328	0.0024299	0.0002829	0.0029392	0.0012133	0.00069724	0.00016104	0.00059271	6.2158e-05	-15981667.259
4410	0.01023	0.0007233	0.0024947	0.00028317	0.0025255	0.0012211	0.00070096	0.00015555	0.00059533	7.1841e-05	-15982228.194
4440	0.010346	0.00071941	0.0024845	0.00028282	0.0028281	0.0012217	0.00070183	0.00015838	0.00059359	7.2975e-05	-15982332.511
4470	0.010312	0.0007141	0.0025106	0.0002791	0.0025779	0.0012242	0.00070974	0.00015766	0.0006038	8.2132e-05	-15981885.523
4500	0.010282	0.00071375	0.002575	0.00027981	0.0031628	0.0012183	0.00070527	0.0001588	0.00059816	7.2679e-05	-15982172.043
4530	0.010221	0.0007052	0.0023818	0.00027513	0.0032313	0.0012125	0.0006999	0.00016896	0.00059648	6.8536e-05	-15982064.741
4560	0.010186	0.00071458	0.0023327	0.00027988	0.0033036	0.0012185	0.00070324	0.00018132	0.000597	6.4554e-05	-15982164.480
4590	0.010311	0.00072401	0.0024778	0.00028461	0.0033845	0.0012302	0.00070736	0.00017623	0.00059831	6.881e-05	-15982146.772
4620	0.010322	0.00071589	0.0025125	0.0002816	0.0030275	0.0012222	0.00070046	0.00016592	0.00059209	7.3915e-05	-15982102.106
4650	0.010115	0.00072654	0.0023332	0.00028536	0.0027969	0.0012259	0.00070034	0.00017713	0.00059289	7.7388e-05	-15982399.678
4680	0.01043	0.00073867	0.0024389	0.0002917	0.0030645	0.0012452	0.00071005	0.00017482	0.00059786	8.6734e-05	-15982200.865
4710	0.010228	0.00073048	0.0022849	0.00028762	0.0026974	0.0012287	0.00069895	0.00017889	0.00059023	9.4866e-05	-15982615.980
4740	0.010318	0.0007282	0.0023464	0.00028853	0.0025152	0.0012283	0.00069828	0.00017675	0.00058598	0.00010444	-15982238.052
4770	0.010285	0.00072843	0.002381	0.00028861	0.002751	0.0012282	0.00069673	0.00017272	0.00058469	9.8692e-05	-15982334.598
4800	0.010299	0.00074076	0.0026025	0.00029293	0.0024842	0.0012438	0.00070499	0.000153	0.00059277	0.00011042	-15982780.426
4830	0.010284	0.00073243	0.0026049	0.00028889	0.0026665	0.0012346	0.00070256	0.00015472	0.00059225	0.00010428	-15982459.526
4860	0.010325	0.0007329	0.0024658	0.00029035	0.0026885	0.0012331	0.00070328	0.00015235	0.00059026	8.8771e-05	-15982118.818
4890	0.010335	0.0007289	0.0024064	0.0002872	0.0024733	0.0012267	0.00069945	0.00015078	0.00059024	9.6579e-05	-15982169.700
4920	0.010246	0.00072631	0.0024383	0.00028639	0.0023964	0.0012293	0.0007039	0.00014607	0.00059357	0.00011396	-15982195.487
4950	0.010334	0.00072593	0.0025928	0.0002855	0.0024358	0.0012289	0.00070357	0.00014568	0.00059483	0.00011365	-15982283.127
4980	0.010378	0.0007264	0.0027033	0.00028556	0.0024411	0.0012296	0.00070368	0.00013518	0.00059518	0.00010706	-15982280.273
5010	0.010213	0.00072874	0.0025521	0.00028535	0.0022371	0.0012332	0.00070994	0.00014437	0.00060284	0.00011727	-15982412.870
5040	0.010214	0.00072374	0.0024982	0.00028514	0.0022149	0.0012281	0.00070715	0.00014178	0.0005968	0.00012556	-15982339.419
5070	0.010259	0.000728	0.002658	0.00028617	0.00207	0.0012288	0.00070817	0.00012392	0.000599	0.00013418	-15982232.778
5100	0.010248	0.00073201	0.0025881	0.00028847	0.0020807	0.0012268	0.0007037	0.0001258	0.00059373	0.00012886	-15982468.325
5130	0.010373	0.00073376	0.0025896	0.00028835	0.0022988	0.0012368	0.00071054	0.00013102	0.00060118	0.00011726	-15982533.558
5160	0.010371	0.00073175	0.0026001	0.00028931	0.0025002	0.0012275	0.0007019	0.00013477	0.00059029	9.7728e-05	-15981895.640
5190	0.01019	0.00072506	0.0026432	0.00028493	0.0025346	0.0012221	0.00070199	0.00013158	0.00059396	9.8447e-05	-15982346.228
5220	0.01031	0.00072159	0.0025925	0.00028195	0.0020541	0.0012269	0.00070098	0.00012656	0.00059649	0.0001138	-15982150.555
5250	0.010329	0.00071407	0.0027617	0.00027983	0.0023236	0.0012179	0.0007005	0.00011602	0.00059435	0.00010587	-15982217.029
5280	0.010242	0.00071534	0.0027651	0.00027852	0.0023278	0.0012182	0.00070062	0.00010721	0.00059832	9.9601e-05	-15982125.955
5310	0.010303	0.00071677	0.0029732	0.00027836	0.0022097	0.0012174	0.00069728	9.7515e-05	0.000597	0.0001183	-15982343.015
5340	0.010312	0.00071788	0.002765	0.0002795	0.0022269	0.0012137	0.00068877	0.00010259	0.00058821	0.00012173	-15982202.414
5370	0.010322	0.00073139	0.0027441	0.00028513	0.0023905	0.0012263	0.0006956	0.00011311	0.00059327	0.00012748	-15981748.343
5400	0.010174	0.00073917	0.0026543	0.00028936	0.0023234	0.0012266	0.00069778	0.00011838	0.00059268	0.00012885	-15982331.718
5430	0.010298	0.00074229	0.0026005	0.00029024	0.0024539	0.0012247	0.00069183	0.00012341	0.00058831	0.00012265	-15981806.774
5460	0.010318	0.000742	0.0025864	0.00028959	0.0022841	0.0012289	0.00069156	0.00012862	0.00058915	0.00013353	-15981751.202
5490	0.010324	0.00072719	0.0023958	0.00028565	0.0022256	0.0012176	0.00068551	0.00013959	0.00058025	0.00014303	-15982126.556
5520	0.010346	0.00072958	0.0025845	0.00028417	0.0023179	0.0012343	0.00070611	0.00013784	0.00060277	0.00014935	-15982433.308
5550	0.010116	0.0007313	0.0025112	0.00028684	0.002227	0.0012287	0.00070467	0.00013545	0.00059734	0.00015116	-15982063.011
5580	0.010251	0.00071999	0.0024681	0.00028234	0.0023941	0.0012231	0.00070541	0.00013378	0.00059811	0.00014896	-15982186.615
5610	0.01035	0.00072061	0.0025117	0.00028189	0.0023884	0.0012277	0.00070555	0.00013054	0.0005997	0.00014909	-15982327.740
5640	0.010298	0.00071278	0.0025261	0.0002805	0.0018894	0.0012236	0.00070537	0.00013281	0.00059597	0.00017303	-15982426.572
5670	0.01023	0.00071584	0.0026214	0.00028181	0.0017886	0.0012213	0.00069871	0.00013339	0.00059012	0.00016864	-15982178.701
5700	0.010287	0.00072251	0.0025807	0.00028433	0.0018081	0.0012262	0.00070547	0.00012909	0.00059605	0.00017175	-15982373.345
5730	0.010336	0.00071629	0.0025076	0.00028145	0.0019085	0.0012196	0.00069483	0.00012115	0.00058797	0.00016456	-15982432.728
5760	0.010251	0.00072605	0.0025385	0.00028587	0.0021041	0.0012313	0.00070574	0.00012877	0.00059598	0.00015181	-15982229.140
5790	0.010252	0.0007282	0.0025338	0.00028744	0.002438	0.0012317	0.00070268	0.00012856	0.0005919	0.00012709	-15982004.040
5820	0.010261	0.00072462	0.0026514	0.00028586	0.0023233	0.001227	0.00069793	0.00011532	0.00058826	0.00012833	-15982319.219
5850	0.01031	0.00074793	0.0026947	0.00029486	0.0023547	0.0012465	0.00070695	0.00011758	0.00059624	0.00013748	-15982592.396
5880	0.010099	0.000744	0.0027145	0.00029225	0.0020241	0.0012419	0.00070362	0.00012901	0.00059559	0.00016794	-15982448.406
5910	0.01031	0.00074621	0.0025726	0.00029384	0.0018621	0.0012423	0.00070154	0.00013144	0.00059237	0.00019246	-15982495.699
