Gen	theta_7OLMXRB	theta_8LMXRB	theta_9LM	theta_10XRB	theta_11RB	tau_7OLMXRB	tau_8LMXRB	tau_9LM	tau_10XRB	tau_11RB	lnL
482520	0.010393	0.00063529	0.0033978	0.0009633	0.00063502	0.0012061	0.0007418	3.7146e-05	0.00042086	0.00028371	-15981699.899
482550	0.010377	0.00063258	0.0033014	0.00095603	0.00065063	0.0012	0.00073981	3.7017e-05	0.00042111	0.00027402	-15982086.058
482580	0.010327	0.00062408	0.0033079	0.00096679	0.00071456	0.0012022	0.00074684	3.6942e-05	0.00041059	0.00025849	-15981795.918
482610	0.010308	0.00061934	0.0032911	0.00098171	0.00075473	0.0012016	0.00075462	3.6992e-05	0.00041359	0.00025618	-15982339.388
482640	0.010355	0.00060761	0.003294	0.00095068	0.0007377	0.0011907	0.00075255	3.659e-05	0.00042439	0.0002732	-15982304.797
482670	0.010297	0.00060895	0.003238	0.00096219	0.00075694	0.0011851	0.00074318	3.6402e-05	0.00042573	0.00026669	-15981979.531
482700	0.010381	0.00059884	0.0033716	0.00092947	0.00076552	0.0011863	0.00074856	3.6229e-05	0.00043654	0.00027158	-15982157.966
482730	0.010461	0.00058682	0.0032396	0.00087728	0.00086247	0.0011724	0.00074587	3.504e-05	0.0004516	0.00026743	-15981743.612
482760	0.010373	0.0005767	0.0032277	0.00085479	0.0010205	0.0011721	0.00075439	3.4934e-05	0.00046714	0.00024831	-15981594.363
482790	0.010437	0.00057501	0.0033588	0.0009125	0.00070977	0.0011647	0.00074852	3.4747e-05	0.00043291	0.00027636	-15981831.411
482820	0.010405	0.00058555	0.0032842	0.00091174	0.00068938	0.001173	0.0007473	3.6116e-05	0.0004405	0.0002954	-15981597.837
482850	0.01049	0.00057055	0.0034093	0.00091732	0.00072511	0.001168	0.0007517	3.5755e-05	0.00043891	0.0002832	-15981900.867
482880	0.010443	0.0005711	0.0034708	0.00090178	0.00061677	0.0011729	0.00075536	3.5859e-05	0.00044297	0.00030666	-15982144.312
482910	0.010349	0.00057066	0.0033429	0.0009404	0.00063936	0.0011706	0.00075669	3.7021e-05	0.00043185	0.00031076	-15982352.846
482940	0.010461	0.00056803	0.0035688	0.00094787	0.00050981	0.0011689	0.00075554	3.445e-05	0.00042582	0.00032148	-15981709.370
482970	0.010461	0.00057563	0.0035539	0.00088728	0.00052997	0.0011768	0.00075398	3.4644e-05	0.0004394	0.00032993	-15981795.244
483000	0.010401	0.00057431	0.0033608	0.00085542	0.00051924	0.0011722	0.00075296	3.4581e-05	0.0004541	0.00035001	-15981538.546
483030	0.010468	0.00057861	0.0036008	0.00089382	0.0004667	0.0011804	0.00076036	3.5664e-05	0.00044215	0.00034516	-15981890.962
483060	0.010433	0.00056697	0.0032529	0.00086861	0.00055681	0.0011636	0.00075236	3.5117e-05	0.00044114	0.0003266	-15981913.621
483090	0.010386	0.00056606	0.0033429	0.00087372	0.00055365	0.0011709	0.00076199	3.5313e-05	0.00044346	0.00033902	-15982198.392
483120	0.010466	0.00057099	0.0032588	0.00087653	0.00047745	0.001172	0.00075751	3.3971e-05	0.00044326	0.00034489	-15982121.126
483150	0.010469	0.00056589	0.0033043	0.0008566	0.00044823	0.0011681	0.00075852	3.3842e-05	0.00045349	0.00035151	-15982180.928
483180	0.010431	0.0005595	0.0035461	0.00083653	0.00045643	0.0011671	0.000762	3.3727e-05	0.00046122	0.00035151	-15981986.544
483210	0.010487	0.00056546	0.0034829	0.00089192	0.0004904	0.0011768	0.00076421	3.3956e-05	0.00045309	0.00033161	-15981825.622
483240	0.010439	0.00056493	0.0033428	0.00089741	0.00045674	0.0011665	0.00075352	3.3702e-05	0.0004436	0.00033262	-15981975.122
483270	0.010403	0.00055908	0.0032894	0.00090843	0.00039979	0.0011624	0.00075797	3.4735e-05	0.00044812	0.000347	-15981850.304
483300	0.010462	0.00055834	0.0033779	0.00090295	0.00037596	0.0011562	0.00074777	3.4478e-05	0.00044419	0.00034656	-15981547.748
483330	0.010416	0.00055477	0.0033399	0.00092908	0.00040363	0.0011596	0.00075751	3.459e-05	0.00044594	0.00034363	-15981399.157
483360	0.01041	0.00054898	0.0031754	0.00093143	0.00039472	0.0011531	0.00075607	3.4376e-05	0.00043933	0.00034705	-15981642.074
483390	0.010442	0.00055027	0.0032668	0.0009528	0.00039197	0.0011567	0.00075914	3.4487e-05	0.00043224	0.00034036	-15981766.130
483420	0.010483	0.00054883	0.0032328	0.00094518	0.00038099	0.001158	0.00076088	3.4481e-05	0.00043558	0.00035005	-15981540.410
483450	0.01038	0.00055561	0.0034461	0.00095763	0.00037783	0.0011614	0.00075922	3.4656e-05	0.00044434	0.00035656	-15982271.517
483480	0.010369	0.00056209	0.0034031	0.00094479	0.000422	0.001169	0.00076154	3.491e-05	0.00044571	0.00034457	-15981991.458
483510	0.010362	0.00054986	0.0033443	0.00093168	0.00050367	0.0011582	0.00076079	3.4511e-05	0.00044171	0.00032703	-15982052.886
483540	0.010389	0.00055743	0.0034789	0.00088156	0.00053651	0.0011657	0.00076018	3.4734e-05	0.00046375	0.00034164	-15982054.208
483570	0.010326	0.00056616	0.0032915	0.00088266	0.00057191	0.0011739	0.00076405	3.6081e-05	0.00046675	0.00034609	-15981954.632
483600	0.01033	0.00056332	0.0033204	0.00088024	0.00064309	0.00117	0.00075764	3.5839e-05	0.00046178	0.00033088	-15982178.198
483630	0.01047	0.00055776	0.0033499	0.00083077	0.00055821	0.0011633	0.00075469	3.5592e-05	0.00047299	0.00035219	-15982053.156
483660	0.010391	0.00055293	0.0033727	0.00085354	0.00059823	0.0011669	0.00076588	3.5699e-05	0.00046314	0.00033145	-15982003.127
